Id(0) | Название(1) | Тип(2) | Сечение/Ячейка(3) | Диаметр(4) | Высота листа, рулона/длина хлыста C(5) | Высота листа, рулона/длина хлыста Т(6)| Ширина листа/длина рулона С(7) | Ширина листа/длина рулона Т(8) | Толщина(9) | Цвет/Покрытие(10) | Цена С(11) | Цена Т(12) | Наличие С(13) | Наличие Т(14) | Примечание(15)

Покрытие:
П-BB6Б2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; зеленый 6005; 836.0; ; 1; 1; ;
П-BUFБ2; Профнастил; С8; ; ; 1500.0; 1500.0; ; 1205.0; 0.40; зеленый 6005; 967.0; 967.0; 1; 1; ;
П-AJVГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.40; зеленый 6005; 1096.0; 1096.0; 1; 1; ;
П-AJUГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1205.0; 0.40; зеленый 6005; 1225.0; 1225.0; 1; 1; ;
П-A8QБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1200.0; 0.40; зеленый 6005; 1289.0; 1284.0; 1; 1; ;
П-A8RБ2; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1200.0; 0.40; зеленый 6005; 1612.0; 1605.0; 1; 1; ;
П-A8SБ2; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1200.0; 0.40; зеленый 6005; 1934.0; 1926.0; 1; 1; ;
П-BDBБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.45; зеленый 6005; 1458.0; ; 1; 1; ;
П-BD3ГЛВ; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1205.0; 0.45; зеленый 6005; 1823.0; ; 1; 1; ;
П-BD4ГЛВ; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1205.0; 0.45; зеленый 6005; 2187.0; ; 1; 1; ;
П-BNTБ2; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.40; серый 7004; 1096.0; 1096.0; 1; 1; ;
П-BNUБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.40; серый 7004; 1289.0; 1289.0; 1; 1; ;
П-BNVБ2; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1205.0; 0.40; серый 7004; 1612.0; 1612.0; 1; 1; ;
